Coeff name,Lower bound,Upper bound
m1,0,100
m2,0,100
m3,0,100
m4,0,100
m5,0,100
m6,0,100
m7,0,100
c1x,-0.05,0.05
c1y,-0.05,0.05
c1z,-0.4,0.05
c2x,-0.05,0.05
c2y,-0.15,0.05
c2z,-0.05,0.05
c3x,-0.05,0.15
c3y,-0.05,0.05
c3z,-0.1,0.05
c4x,-0.15,0.05
c4y,-0.05,0.15
c4z,-0.05,0.05
c5x,-0.05,0.05
c5y,-0.05,0.05
c5z,-0.35,0.05
c6x,-0.05,0.15
c6y,-0.05,0.05
c6z,-0.05,0.05
c7x,-0.05,0.05
c7y,-0.05,0.05
c7z,0.04,0.15
I1xx,0,1
I1xy,-1,1
I1xz,-1,1
I1yy,0,1
I1yz,-1,1
I1zz,0,1
I2xx,0,1
I2xy,-1,1
I2xz,-1,1
I2yy,0,1
I2yz,-1,1
I2zz,0,1
I3xx,0,1
I3xy,-1,1
I3xz,-1,1
I3yy,0,1
I3yz,-1,1
I3zz,0,1
I4xx,0,1
I4xy,-1,1
I4xz,-1,1
I4yy,0,1
I4yz,-1,1
I4zz,0,1
I5xx,0,1
I5xy,-1,1
I5xz,-1,1
I5yy,0,1
I5yz,-1,1
I5zz,0,1
I6xx,0,1
I6xy,-1,1
I6xz,-1,1
I6yy,0,1
I6yz,-1,1
I6zz,0,1
I7xx,0,1
I7xy,-1,1
I7xz,-1,1
I7yy,0,1
I7yz,-1,1
I7zz,0,1
fc1,0,100
fc2,0,100
fc3,0,100
fc4,0,100
fc5,0,100
fc6,0,100
fc7,0,100
fv1,0,100
fv2,0,100
fv3,0,100
fv4,0,100
fv5,0,100
fv6,0,100
fv7,0,100
fo1,-100,100
fo2,-100,100
fo3,-100,100
fo4,-100,100
fo5,-100,100
fo6,-100,100
fo7,-100,100
